the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-73.80902413860592 40.70288481437955, -73.8091823178876 40.70284194750743, -73.80919588040044 40.70283827158019, -73.80920090813139 40.702849014940625, -73.80921640647517 40.70288213721737, -73.80904466339868 40.70292868004515, -73.80902413860592 40.70288481437955)))",4206776,1920,,08/22/2017 12:00:00 AM +0000,Constructed,593685,22.89,2100,54,857.52416845171,135.02506179862,4096760056,4096760056,Photogramm
"MULTIPOLYGON (((-73.95310875139809 40.66843138463268, -73.95293195801334 40.668421841712, -73.95293572970401 40.668381335355996, -73.95293693449521 40.66836840174139, -73.95294907399524 40.66836905687932, -73.95295369918567 40.668369307313235, -73.95311203897005 40.668377853914656, -73.95316816924478 40.6683808836001, -73.9532900893804 40.668387463707276, -73.95328511436276 40.66844090369346, -73.95310875139809 40.66843138463268)))",3337864,1910,,08/22/2017 12:00:00 AM +0000,Constructed,245564,26.15,2100,125,1917.01422447604,235.46819603514,3012750001,3012750001,Photogramm
"MULTIPOLYGON (((-73.74801441053745 40.72010360813028, -73.74814941872515 40.72006201885825, -73.74817172347423 40.72010393341758, -73.74803671639916 40.720145522718134, -73.74801441053745 40.72010360813028)))",4226772,1925,,08/22/2017 12:00:00 AM +0000,Constructed,823380,27.32,2100,74,665.17507120449,113.69964970794,4106240008,4106240008,Photogramm
"MULTIPOLYGON (((-73.89452832426565 40.82010712026073, -73.89452989459775 40.8200489486973, -73.894618517634 40.82005033004339, -73.89464832020903 40.820050794017746, -73.89464674879501 40.820108965581674, -73.89461702086967 40.82010850257567, -73.89452832426565 40.82010712026073)))",2005632,1982,,08/22/2017 12:00:00 AM +0000,Constructed,485137,22.07,2100,33,694.9851849765,107.96642733833,2027120016,2027120016,Photogramm
"MULTIPOLYGON (((-73.82338509032847 40.74027213269337, -73.82335898661448 40.740263325303005, -73.8233831349735 40.740221920011884, -73.82340485138955 40.74022924653622, -73.82340646888873 40.74022647364756, -73.82352088143014 40.74026507644939, -73.82351760362218 40.740270696005965, -73.8235654947839 40.74028685427683, -73.82355948150591 40.74029716489798, -73.82354300682528 40.74032541383964, -73.82343634201128 40.740289425409784, -73.82338509032847 40.74027213269337)))",4140607,1945,,08/22/2017 12:00:00 AM +0000,Constructed,174767,26.34,2100,52,942.51375675518,146.78942680959,4064190011,4064190011,Photogramm
"MULTIPOLYGON (((-73.9630909105247 40.71421227765653, -73.9631236238126 40.71415910308945, -73.96324348205286 40.7142017959014, -73.96321076883957 40.714254970502246, -73.9630909105247 40.71421227765653)))",3062926,1899,,08/22/2017 12:00:00 AM +0000,Constructed,663480,35.56677478,2100,50,784.77597640324,116.15686221839,3024050006,3024050006,Photogramm
"MULTIPOLYGON (((-73.96517509591176 40.60732279176563, -73.96524752505411 40.607316335335305, -73.96525148054397 40.60734211486509, -73.96517905137449 40.60734857039736, -73.96517509591176 40.60732279176563)))",3384724,1920,,08/17/2017 12:00:00 AM +0000,Constructed,970470,13.45,5110,24,191.46677001535,59.40838719394,3066640007,3066640007,Photogramm
"MULTIPOLYGON (((-73.78782066106079 40.705852893128565, -73.78789315260538 40.70583506597808, -73.78793052011643 40.705923061019675, -73.7879517919804 40.70597315347961, -73.78787930148178 40.7059909815694, -73.78786090489797 40.7059476608576, -73.78782066106079 40.705852893128565)))",4217503,1920,,08/22/2017 12:00:00 AM +0000,Constructed,244652,31.23,2100,53,1116.75267316206,147.98688827549,4102120044,4102120044,Photogramm
"MULTIPOLYGON (((-73.78885406530175 40.75710534147171, -73.78886996292889 40.75710482220049, -73.78887339859665 40.75716565868977, -73.7888618380748 40.75716603642659, -73.78880017564187 40.75716805039128, -73.78879674004372 40.75710721299931, -73.78885406530175 40.75710534147171)))",4485841,1940,,08/17/2017 12:00:00 AM +0000,Constructed,445857,11.77,5110,63,450.46378505674,84.97983580296,4055160024,4055160024,Photogramm
"MULTIPOLYGON (((-74.13556237981483 40.640134836980856, -74.13556358035545 40.64001645235893, -74.13562068383379 40.64001678845906, -74.13561948339448 40.640135173081525, -74.13556237981483 40.640134836980856)))",5132682,2000,,08/22/2017 12:00:00 AM +0000,Constructed,926272,29.08,2100,28,683.57427845982,117.9608723855,5010750122,5010750122,Photogramm
